Teacher,Class,Registered,Attended,Class Time
Rick White,Health 3B,131,19,11:00:00
James Harris,Technology - Networking 1,22,22,10:00:00
George Martin,Technology - Networking 2,6,1,11:30:00
Amy Roebuck,Technology - Networking 3,142,20,13:30:00
Harry James,Science - Biology 3,105,8,08:30:00
Bill Sluss,Science - Biology 4,66,19,13:00:00
John Jacob,Science - Biology 1,29,22,11:00:00
Jim Jeffs,Health 3A,78,26,08:30:00
Jessica Taylor,Health 2,23,21,13:30:00
Jake Anderson,Health 1,84,84,12:30:00
Beverly Thomas,Science - Geology 1,31,13,13:00:00
Rick White,History - World History AP,138,10,10:00:00
James Harris,English - Language 2,57,57,14:30:00
George Martin,Math - Algebra 2,144,45,15:30:00
Amy Roebuck,Technology - Programming  1,94,60,11:00:00
Harry James,Technology - Programming  3,149,27,16:00:00
Bill Sluss,Math - Algebra 1,92,32,10:30:00
John Jacob,English - Language 1,96,83,11:30:00
Jim Jeffs,History - World History AP,121,40,08:30:00
Jessica Taylor,Science - Biology 2,16,11,14:30:00
Jake Anderson,Gym 2,124,59,14:00:00
Beverly Thomas,Health 3A,81,13,11:00:00
Rick White,Technology - Programming  2,43,6,12:00:00
James Harris,Math - Algebra 2,71,32,15:00:00
George Martin,English - Language 2,9,3,13:00:00
Amy Roebuck,History - US History AP,32,6,10:30:00
Harry James,Science - Geology 2,27,6,14:30:00
Bill Sluss,Gym 1,17,17,15:30:00
John Jacob,Health 3B,6,3,10:00:00
Jim Jeffs,Technology - Networking 1,127,125,11:30:00
Jessica Taylor,Technology - Networking 2,19,11,16:00:00
Jake Anderson,Technology - Networking 3,63,47,12:00:00
Beverly Thomas,Science - Biology 3,9,1,09:30:00
Rick White,Science - Biology 4,6,2,15:00:00
James Harris,Science - Biology 1,119,119,10:30:00
George Martin,Health 3A,54,12,13:30:00
Amy Roebuck,Health 2,56,6,11:30:00
Harry James,Health 1,99,91,15:00:00
Bill Sluss,Science - Geology 1,30,18,13:00:00
John Jacob,History - World History AP,86,36,12:30:00
Jim Jeffs,English - Language 2,69,52,12:30:00
Jessica Taylor,Math - Algebra 2,23,6,09:30:00
Jake Anderson,Technology - Programming  1,39,39,15:00:00
Beverly Thomas,Technology - Programming  3,50,3,09:00:00
Rick White,Math - Algebra 1,142,67,11:30:00
James Harris,English - Language 1,6,6,16:00:00
George Martin,History - World History AP,59,8,13:00:00
Amy Roebuck,Science - Biology 2,135,12,10:30:00
Harry James,Gym 2,128,19,09:00:00
Bill Sluss,Health 3A,120,18,11:00:00
John Jacob,Technology - Programming  2,49,16,10:00:00
Jim Jeffs,Math - Algebra 2,150,72,10:30:00
Jessica Taylor,English - Language 2,65,40,14:00:00
Jake Anderson,History - US History AP,46,11,09:30:00
Beverly Thomas,Science - Geology 2,129,19,12:00:00
Rick White,Gym 1,137,124,15:30:00
James Harris,Health 3B,57,45,12:00:00
George Martin,Technology - Networking 1,115,29,09:30:00
Amy Roebuck,Technology - Networking 2,73,15,12:30:00
Harry James,Technology - Networking 3,17,3,09:00:00
Bill Sluss,Science - Biology 3,150,25,12:30:00
John Jacob,Science - Biology 4,12,3,08:00:00
Jim Jeffs,Science - Biology 1,107,107,14:30:00
Jessica Taylor,Health 3A,52,37,14:30:00
Jake Anderson,Health 2,22,6,08:30:00
Beverly Thomas,Health 1,72,34,10:30:00
Rick White,Science - Geology 1,128,98,13:30:00
James Harris,History - World History AP,42,11,09:30:00
George Martin,English - Language 2,25,3,11:30:00
Amy Roebuck,Math - Algebra 2,23,4,10:30:00
Harry James,Technology - Programming  1,33,26,15:00:00
Bill Sluss,Technology - Programming  3,123,19,13:30:00
John Jacob,Math - Algebra 1,139,87,09:00:00
Jim Jeffs,English - Language 1,22,21,08:30:00
Jessica Taylor,History - World History AP,41,28,12:00:00
Jake Anderson,Science - Biology 2,113,37,12:00:00
Beverly Thomas,Gym 2,30,5,16:00:00
Rick White,Health 3A,79,14,14:00:00
James Harris,Technology - Programming  2,63,63,16:00:00
George Martin,Math - Algebra 2,79,9,13:30:00
Amy Roebuck,English - Language 2,143,11,08:30:00
Harry James,History - US History AP,45,22,16:00:00
Bill Sluss,Science - Geology 2,113,31,15:00:00
John Jacob,Gym 1,6,6,14:30:00
Jim Jeffs,Health 3B,27,10,10:30:00
Jessica Taylor,Technology - Networking 1,119,119,15:30:00
Jake Anderson,Technology - Networking 2,18,11,13:00:00
Beverly Thomas,Technology - Networking 3,101,14,14:00:00
Rick White,Science - Biology 3,51,8,14:00:00
James Harris,Science - Biology 4,85,43,14:00:00
George Martin,Science - Biology 1,143,43,10:30:00
Amy Roebuck,Health 3A,67,9,13:30:00
Harry James,Health 2,116,10,08:00:00
Bill Sluss,Health 1,145,83,11:00:00
John Jacob,Science - Geology 1,10,9,09:30:00
Jim Jeffs,History - World History AP,90,77,16:00:00
Jessica Taylor,English - Language 2,24,16,13:30:00
Jake Anderson,Math - Algebra 2,126,57,13:30:00
Beverly Thomas,Technology - Programming  1,146,63,14:00:00
Rick White,Technology - Programming  3,128,42,14:30:00
James Harris,Math - Algebra 1,13,13,14:30:00
George Martin,English - Language 1,128,91,13:00:00
Amy Roebuck,History - World History AP,147,41,16:00:00
Harry James,Science - Biology 2,110,23,11:00:00
Bill Sluss,Gym 2,140,30,13:30:00
John Jacob,Health 3A,65,55,15:00:00
Jim Jeffs,Technology - Programming  2,41,7,09:00:00
Jessica Taylor,Math - Algebra 2,34,14,11:30:00
Jake Anderson,English - Language 2,70,28,12:30:00
Beverly Thomas,History - US History AP,75,22,14:00:00
Rick White,Science - Geology 2,36,7,12:00:00
James Harris,Gym 1,29,29,08:30:00
George Martin,Health 3B,141,33,16:00:00
Amy Roebuck,Technology - Networking 1,24,7,10:30:00
Harry James,Technology - Networking 2,17,3,09:00:00
Bill Sluss,Technology - Networking 3,42,9,14:30:00
John Jacob,Science - Biology 3,81,49,11:00:00
Jim Jeffs,Science - Biology 4,33,8,08:30:00
Jessica Taylor,Science - Biology 1,5,5,11:00:00
Jake Anderson,Health 3A,130,130,14:30:00
Beverly Thomas,Health 2,76,23,13:00:00
Rick White,Health 1,73,72,14:30:00
James Harris,Science - Geology 1,104,104,11:30:00
George Martin,History - World History AP,97,33,14:30:00
Amy Roebuck,English - Language 2,72,15,11:00:00
Harry James,Math - Algebra 2,72,10,12:00:00
Bill Sluss,Technology - Programming  1,66,19,09:00:00
John Jacob,Technology - Programming  3,63,23,08:00:00
Jim Jeffs,Math - Algebra 1,68,68,13:30:00
Jessica Taylor,English - Language 1,127,99,11:30:00
Jake Anderson,History - World History AP,7,7,14:30:00
Beverly Thomas,Science - Biology 2,7,2,15:30:00
Rick White,Gym 2,97,40,16:00:00
James Harris,Health 3A,14,7,11:00:00
George Martin,Technology - Programming  2,111,22,12:30:00
Amy Roebuck,Math - Algebra 2,132,33,15:00:00
Harry James,English - Language 2,18,3,10:00:00
Bill Sluss,History - US History AP,53,10,12:00:00
John Jacob,Science - Geology 2,116,81,13:00:00
Jim Jeffs,Gym 1,22,19,08:30:00
Jessica Taylor,Health 3B,64,47,16:00:00
Jake Anderson,Technology - Networking 1,132,132,16:00:00
Beverly Thomas,Technology - Networking 2,138,35,12:30:00
Rick White,Technology - Networking 3,97,27,13:30:00
James Harris,Science - Biology 3,5,5,15:30:00
George Martin,Science - Biology 4,109,10,09:30:00
Amy Roebuck,Science - Biology 1,41,31,12:00:00
Harry James,Health 3A,73,5,09:30:00
Bill Sluss,Health 2,16,4,10:30:00
John Jacob,Health 1,37,37,09:00:00
Jim Jeffs,Science - Geology 1,142,142,14:30:00
Jessica Taylor,History - World History AP,19,15,13:00:00
Jake Anderson,English - Language 2,19,18,14:00:00
Beverly Thomas,Math - Algebra 2,37,9,12:00:00
Rick White,Technology - Programming  1,35,15,11:30:00
James Harris,Technology - Programming  3,74,14,08:00:00
George Martin,Math - Algebra 1,108,38,12:30:00
Amy Roebuck,English - Language 1,89,65,11:30:00
Harry James,History - World History AP,138,7,08:00:00
Bill Sluss,Science - Biology 2,16,6,14:30:00
John Jacob,Gym 2,36,8,08:00:00
Jim Jeffs,Health 3A,51,36,12:30:00
Jessica Taylor,Technology - Programming  2,119,97,15:00:00
Jake Anderson,Math - Algebra 2,118,118,15:00:00
Beverly Thomas,English - Language 2,10,3,15:30:00
Rick White,History - US History AP,107,15,13:30:00
James Harris,Science - Geology 2,69,23,11:00:00
George Martin,Gym 1,65,51,15:30:00
Amy Roebuck,Health 3B,25,3,10:00:00
Harry James,Technology - Networking 1,139,84,11:00:00
Bill Sluss,Technology - Networking 2,47,7,15:00:00
John Jacob,Technology - Networking 3,119,30,08:00:00
Jim Jeffs,Science - Biology 3,134,93,14:00:00
Jessica Taylor,Science - Biology 4,33,10,08:30:00
Jake Anderson,Science - Biology 1,59,59,14:30:00
Beverly Thomas,Health 3A,128,22,12:30:00
Rick White,Health 2,59,17,15:00:00
James Harris,Health 1,29,29,16:00:00
George Martin,Science - Geology 1,116,51,09:00:00
Amy Roebuck,History - World History AP,142,36,13:30:00
Harry James,English - Language 2,68,21,15:30:00
Bill Sluss,Math - Algebra 2,108,7,09:30:00
John Jacob,Technology - Programming  1,129,129,09:30:00
Jim Jeffs,Technology - Programming  3,48,36,13:30:00
Jessica Taylor,Math - Algebra 1,144,144,14:30:00
Jake Anderson,English - Language 1,37,37,12:30:00
Beverly Thomas,History - World History AP,112,19,14:00:00
Rick White,Science - Biology 2,25,6,16:00:00
James Harris,Gym 2,85,25,08:30:00
George Martin,Health 3A,85,20,13:30:00
Amy Roebuck,Technology - Programming  2,101,35,14:30:00
Harry James,Math - Algebra 2,88,18,15:30:00
Bill Sluss,English - Language 2,107,13,13:30:00
John Jacob,History - US History AP,17,17,14:30:00
Jim Jeffs,Science - Geology 2,65,44,13:00:00
Jessica Taylor,Gym 1,138,138,15:30:00
Jake Anderson,Health 3B,92,30,09:30:00
Beverly Thomas,Technology - Networking 1,50,11,08:00:00
Rick White,Technology - Networking 2,28,10,13:30:00
James Harris,Technology - Networking 3,126,54,09:30:00
George Martin,Science - Biology 3,112,17,12:00:00
Amy Roebuck,Science - Biology 4,53,10,10:30:00
Harry James,Science - Biology 1,99,29,09:30:00
Bill Sluss,Health 3A,57,7,10:30:00
John Jacob,Health 2,43,14,12:30:00
Jim Jeffs,Health 1,11,11,13:00:00
Jessica Taylor,Science - Geology 1,32,32,10:00:00
Jake Anderson,History - World History AP,143,111,15:30:00
Beverly Thomas,English - Language 2,79,13,12:30:00
Rick White,Math - Algebra 2,81,8,09:00:00
James Harris,Technology - Programming  1,144,144,12:00:00
George Martin,Technology - Programming  3,5,1,10:30:00
Amy Roebuck,Math - Algebra 1,44,14,09:00:00
Harry James,English - Language 1,114,106,13:00:00
Bill Sluss,History - World History AP,70,8,08:30:00
John Jacob,Science - Biology 2,55,24,09:00:00
Jim Jeffs,Gym 2,100,35,09:30:00
Jessica Taylor,Health 3A,56,28,11:00:00
Jake Anderson,Technology - Programming  2,130,21,09:00:00
Beverly Thomas,Math - Algebra 2,99,38,15:30:00
Rick White,English - Language 2,15,3,10:30:00
James Harris,History - US History AP,37,22,13:00:00
George Martin,Science - Geology 2,23,6,15:00:00
Amy Roebuck,Gym 1,69,61,15:30:00
Harry James,Health 3B,124,26,11:00:00
Bill Sluss,Technology - Networking 1,15,6,09:00:00
John Jacob,Technology - Networking 2,81,23,09:00:00
Jim Jeffs,Technology - Networking 3,148,148,16:00:00
Jessica Taylor,Science - Biology 3,55,52,15:00:00
Jake Anderson,Science - Biology 4,128,48,13:00:00
Beverly Thomas,Science - Biology 1,93,28,10:30:00
Rick White,Health 3A,119,9,09:00:00
James Harris,Health 2,35,22,12:00:00
George Martin,Health 1,13,7,15:30:00
Amy Roebuck,Science - Geology 1,102,78,15:30:00
Harry James,History - World History AP,122,25,11:30:00
Bill Sluss,English - Language 2,109,21,11:00:00
John Jacob,Math - Algebra 2,39,35,14:30:00
Jim Jeffs,Technology - Programming  1,128,128,14:30:00
Jessica Taylor,Technology - Programming  3,110,110,15:30:00
Jake Anderson,Math - Algebra 1,84,84,14:00:00
Beverly Thomas,English - Language 1,42,11,08:00:00
Rick White,History - World History AP,148,40,14:30:00
James Harris,Science - Biology 2,95,24,11:30:00
George Martin,Gym 2,43,4,11:30:00
Amy Roebuck,Health 3A,54,13,12:00:00
Harry James,Technology - Programming  2,45,10,11:30:00
Bill Sluss,Math - Algebra 2,100,19,12:00:00
John Jacob,English - Language 2,78,50,15:30:00
Jim Jeffs,History - US History AP,25,7,09:00:00
Jessica Taylor,Science - Geology 2,145,120,13:00:00
Jake Anderson,Gym 1,120,120,11:30:00
Beverly Thomas,Health 3B,45,8,11:00:00
Rick White,Technology - Networking 1,105,64,14:00:00
James Harris,Technology - Networking 2,145,145,14:30:00
George Martin,Technology - Networking 3,42,16,15:00:00
Amy Roebuck,Science - Biology 3,129,43,13:30:00
Harry James,Science - Biology 4,9,1,09:30:00
Bill Sluss,Science - Biology 1,23,5,08:00:00
John Jacob,Health 3A,129,98,15:00:00
Jim Jeffs,Health 2,37,22,14:30:00
Jessica Taylor,Health 1,68,68,14:30:00
Jake Anderson,Science - Geology 1,41,17,08:00:00
Beverly Thomas,History - World History AP,63,13,11:30:00
Rick White,English - Language 2,91,13,11:30:00
James Harris,Math - Algebra 2,79,28,09:00:00
George Martin,Technology - Programming  1,14,4,10:00:00
Amy Roebuck,Technology - Programming  3,60,7,09:30:00
Harry James,Math - Algebra 1,20,4,08:00:00
Bill Sluss,English - Language 1,58,17,09:30:00
John Jacob,History - World History AP,143,57,13:00:00
Jim Jeffs,Science - Biology 2,66,66,15:30:00
Jessica Taylor,Gym 2,110,69,11:00:00
Jake Anderson,Health 3A,73,73,14:30:00
Beverly Thomas,Technology - Programming  2,28,8,12:00:00
Rick White,Math - Algebra 2,126,12,08:00:00
James Harris,English - Language 2,148,63,09:00:00
George Martin,History - US History AP,107,24,11:30:00
Amy Roebuck,Science - Geology 2,26,5,12:30:00
Harry James,Gym 1,143,143,15:00:00
Bill Sluss,Health 3B,123,12,12:00:00
John Jacob,Technology - Networking 1,89,89,09:30:00
Jim Jeffs,Technology - Networking 2,115,64,10:30:00
Jessica Taylor,Technology - Networking 3,63,34,12:30:00
Jake Anderson,Science - Biology 3,77,15,09:30:00
Beverly Thomas,Science - Biology 4,130,9,08:00:00
Rick White,Science - Biology 1,135,94,16:00:00
James Harris,Health 3A,62,38,11:00:00
George Martin,Health 2,92,14,14:00:00
Amy Roebuck,Health 1,123,38,08:00:00
Harry James,Science - Geology 1,23,7,08:00:00
Bill Sluss,History - World History AP,41,3,08:00:00
John Jacob,English - Language 2,85,76,15:30:00
Jim Jeffs,Math - Algebra 2,129,82,16:00:00
Jessica Taylor,Technology - Programming  1,68,68,10:00:00
Jake Anderson,Technology - Programming  3,123,52,10:30:00
Beverly Thomas,Math - Algebra 1,8,3,12:00:00
Rick White,English - Language 1,55,21,09:00:00
James Harris,History - World History AP,26,9,12:00:00
George Martin,Science - Biology 2,149,28,12:30:00
Amy Roebuck,Gym 2,36,11,15:30:00
Harry James,Health 3A,126,17,11:30:00
Bill Sluss,Technology - Programming  2,102,13,11:00:00
John Jacob,Math - Algebra 2,136,35,08:00:00
Jim Jeffs,English - Language 2,24,9,08:00:00
Jessica Taylor,History - US History AP,113,96,15:00:00
Jake Anderson,Science - Geology 2,133,42,08:30:00
Beverly Thomas,Gym 1,139,62,09:30:00
Rick White,Health 3B,19,2,09:00:00
James Harris,Technology - Networking 1,33,33,16:00:00
George Martin,Technology - Networking 2,23,3,09:00:00
Amy Roebuck,Technology - Networking 3,18,3,12:00:00
Harry James,Science - Biology 3,98,25,15:30:00
Bill Sluss,Science - Biology 4,57,22,15:00:00
John Jacob,Science - Biology 1,56,56,16:00:00
Jim Jeffs,Health 3A,77,20,10:30:00
Jessica Taylor,Health 2,75,33,13:00:00
Jake Anderson,Health 1,92,92,10:00:00
Beverly Thomas,Science - Geology 1,12,9,12:00:00
Rick White,History - World History AP,41,13,15:30:00
James Harris,English - Language 2,51,14,08:30:00
George Martin,Math - Algebra 2,48,15,14:30:00
Amy Roebuck,Technology - Programming  1,123,59,14:30:00
Harry James,Technology - Programming  3,5,1,09:00:00
Bill Sluss,Math - Algebra 1,141,58,12:30:00
John Jacob,English - Language 1,43,36,10:30:00
Jim Jeffs,History - World History AP,134,32,11:00:00
Jessica Taylor,Science - Biology 2,97,97,14:00:00
Jake Anderson,Gym 2,16,3,08:00:00
Beverly Thomas,Health 3A,5,2,15:00:00
Rick White,Technology - Programming  2,114,23,11:30:00
James Harris,Math - Algebra 2,138,107,13:00:00
George Martin,English - Language 2,109,18,09:30:00
Amy Roebuck,History - US History AP,112,14,10:30:00
Harry James,Science - Geology 2,17,5,12:00:00
Bill Sluss,Gym 1,72,29,11:30:00
John Jacob,Health 3B,142,103,15:30:00
Jim Jeffs,Technology - Networking 1,47,47,10:30:00
Jessica Taylor,Technology - Networking 2,117,51,11:00:00
Jake Anderson,Technology - Networking 3,99,57,11:00:00
Beverly Thomas,Science - Biology 3,61,7,11:00:00
Rick White,Science - Biology 4,93,14,14:30:00
James Harris,Science - Biology 1,76,76,13:30:00
George Martin,Health 3A,15,3,14:30:00
Amy Roebuck,Health 2,146,43,14:30:00
Harry James,Health 1,100,42,10:30:00
Bill Sluss,Science - Geology 1,9,7,13:00:00
John Jacob,History - World History AP,87,44,11:30:00
Jim Jeffs,English - Language 2,138,82,11:00:00
Jessica Taylor,Math - Algebra 2,23,21,14:00:00
Jake Anderson,Technology - Programming  1,88,64,08:00:00
Beverly Thomas,Technology - Programming  3,73,25,13:30:00
Rick White,Math - Algebra 1,107,56,12:00:00
James Harris,English - Language 1,139,139,11:30:00
George Martin,History - World History AP,92,7,08:30:00
Amy Roebuck,Science - Biology 2,107,42,14:30:00
Harry James,Gym 2,7,2,12:00:00
Bill Sluss,Health 3A,63,11,15:30:00
John Jacob,Technology - Programming  2,74,52,15:00:00
Jim Jeffs,Math - Algebra 2,39,12,10:00:00
Jessica Taylor,English - Language 2,128,128,15:30:00
Jake Anderson,History - US History AP,14,4,11:00:00
Beverly Thomas,Science - Geology 2,22,3,11:00:00
Rick White,Gym 1,73,60,12:30:00
James Harris,Health 3B,142,50,08:00:00
George Martin,Technology - Networking 1,111,36,09:30:00
Amy Roebuck,Technology - Networking 2,80,25,13:30:00
Harry James,Technology - Networking 3,106,8,08:30:00
Bill Sluss,Science - Biology 3,93,12,10:00:00
John Jacob,Science - Biology 4,69,63,13:30:00
Jim Jeffs,Science - Biology 1,130,130,13:00:00
Jessica Taylor,Health 3A,13,9,16:00:00
Jake Anderson,Health 2,80,21,10:00:00
Beverly Thomas,Health 1,58,58,15:30:00
Rick White,Science - Geology 1,80,32,11:00:00
James Harris,History - World History AP,5,5,14:30:00
George Martin,English - Language 2,124,19,14:00:00
Amy Roebuck,Math - Algebra 2,89,34,16:00:00
Harry James,Technology - Programming  1,108,79,15:00:00
Bill Sluss,Technology - Programming  3,140,31,11:00:00
John Jacob,Math - Algebra 1,88,58,08:30:00
Jim Jeffs,English - Language 1,20,20,15:30:00
Jessica Taylor,History - World History AP,119,26,09:00:00
Jake Anderson,Science - Biology 2,42,11,10:30:00
Beverly Thomas,Gym 2,49,15,15:00:00
Rick White,Health 3A,85,26,15:30:00
James Harris,Technology - Programming  2,114,79,12:30:00
George Martin,Math - Algebra 2,115,18,15:30:00
Amy Roebuck,English - Language 2,32,7,11:00:00
Harry James,History - US History AP,100,16,09:00:00
Bill Sluss,Science - Geology 2,88,16,10:30:00
John Jacob,Gym 1,150,139,08:30:00
Jim Jeffs,Health 3B,118,50,11:30:00
Jessica Taylor,Technology - Networking 1,98,98,11:00:00
Jake Anderson,Technology - Networking 2,12,10,13:00:00
Beverly Thomas,Technology - Networking 3,15,2,12:30:00
Rick White,Science - Biology 3,15,3,10:30:00
James Harris,Science - Biology 4,66,26,09:00:00
George Martin,Science - Biology 1,119,27,08:00:00
Amy Roebuck,Health 3A,94,10,12:00:00
Harry James,Health 2,100,23,14:30:00
Bill Sluss,Health 1,122,116,14:30:00
John Jacob,Science - Geology 1,8,6,10:00:00
Jim Jeffs,History - World History AP,28,7,11:00:00
Jessica Taylor,English - Language 2,147,47,12:00:00
Jake Anderson,Math - Algebra 2,103,77,12:30:00
Beverly Thomas,Technology - Programming  1,33,19,11:30:00
Rick White,Technology - Programming  3,131,37,15:30:00
James Harris,Math - Algebra 1,95,46,09:00:00
George Martin,English - Language 1,77,56,13:00:00
Amy Roebuck,History - World History AP,92,21,15:00:00
Harry James,Science - Biology 2,102,16,15:00:00
Bill Sluss,Gym 2,57,7,10:30:00
John Jacob,Health 3A,64,50,14:30:00
Jim Jeffs,Technology - Programming  2,45,8,08:00:00
Jessica Taylor,Math - Algebra 2,124,92,14:00:00
Jake Anderson,English - Language 2,16,12,12:30:00
Beverly Thomas,History - US History AP,68,16,14:30:00
Rick White,Science - Geology 2,131,27,15:30:00
James Harris,Gym 1,60,60,10:30:00
George Martin,Health 3B,90,17,11:30:00
Amy Roebuck,Technology - Networking 1,18,6,12:30:00
Harry James,Technology - Networking 2,128,23,10:30:00
Bill Sluss,Technology - Networking 3,36,8,13:00:00
John Jacob,Science - Biology 3,133,87,15:30:00
Jim Jeffs,Science - Biology 4,136,79,15:30:00
Jessica Taylor,Science - Biology 1,144,144,09:00:00
Jake Anderson,Health 3A,91,40,13:00:00
Beverly Thomas,Health 2,19,8,15:00:00
Rick White,Health 1,133,72,11:00:00
James Harris,Science - Geology 1,18,18,10:30:00
George Martin,History - World History AP,36,6,11:30:00
Amy Roebuck,English - Language 2,59,15,12:30:00
Harry James,Math - Algebra 2,60,24,15:30:00
Bill Sluss,Technology - Programming  1,113,113,14:30:00
John Jacob,Technology - Programming  3,88,37,10:00:00
Jim Jeffs,Math - Algebra 1,87,87,12:30:00
Jessica Taylor,English - Language 1,83,83,12:00:00
Jake Anderson,History - World History AP,18,5,09:30:00
Beverly Thomas,Science - Biology 2,71,11,13:30:00
Rick White,Gym 2,6,1,11:00:00
James Harris,Health 3A,99,64,11:00:00
George Martin,Technology - Programming  2,14,4,13:00:00
Amy Roebuck,Math - Algebra 2,129,12,08:30:00
Harry James,English - Language 2,54,11,10:00:00
Bill Sluss,History - US History AP,33,8,12:30:00
John Jacob,Science - Geology 2,34,18,12:00:00
Jim Jeffs,Gym 1,17,9,09:00:00
Jessica Taylor,Health 3B,137,76,11:00:00
Jake Anderson,Technology - Networking 1,38,38,09:00:00
Beverly Thomas,Technology - Networking 2,96,33,14:00:00
Rick White,Technology - Networking 3,150,17,09:00:00
James Harris,Science - Biology 3,127,97,13:00:00
George Martin,Science - Biology 4,57,20,15:30:00
Amy Roebuck,Science - Biology 1,43,12,11:30:00
Harry James,Health 3A,80,5,08:30:00
Bill Sluss,Health 2,92,22,12:00:00
John Jacob,Health 1,134,134,12:30:00
Jim Jeffs,Science - Geology 1,35,35,10:00:00
Jessica Taylor,History - World History AP,128,128,15:30:00
Jake Anderson,English - Language 2,61,40,14:00:00
Beverly Thomas,Math - Algebra 2,106,14,08:30:00
Rick White,Technology - Programming  1,106,25,08:30:00
James Harris,Technology - Programming  3,17,7,11:00:00
George Martin,Math - Algebra 1,121,51,11:00:00
Amy Roebuck,English - Language 1,74,53,14:30:00
Harry James,History - World History AP,57,21,15:30:00
Bill Sluss,Science - Biology 2,74,14,11:00:00
John Jacob,Gym 2,76,23,11:00:00
Jim Jeffs,Health 3A,140,140,14:30:00
Jessica Taylor,Technology - Programming  2,113,32,08:30:00
Jake Anderson,Math - Algebra 2,84,33,10:00:00
Beverly Thomas,English - Language 2,107,22,11:30:00
Rick White,History - US History AP,128,12,10:00:00
James Harris,Science - Geology 2,106,51,16:00:00
George Martin,Gym 1,48,38,14:30:00
Amy Roebuck,Health 3B,48,10,11:30:00
Harry James,Technology - Networking 1,116,81,13:00:00
Bill Sluss,Technology - Networking 2,59,10,12:00:00
John Jacob,Technology - Networking 3,16,16,14:30:00
Jim Jeffs,Science - Biology 3,149,114,14:00:00
Jessica Taylor,Science - Biology 4,140,127,13:30:00
Jake Anderson,Science - Biology 1,23,23,14:00:00
Beverly Thomas,Health 3A,147,51,13:30:00
Rick White,Health 2,127,57,16:00:00
James Harris,Health 1,36,36,15:30:00
George Martin,Science - Geology 1,146,146,16:00:00
Amy Roebuck,History - World History AP,21,6,15:30:00
Harry James,English - Language 2,146,48,13:30:00
Bill Sluss,Math - Algebra 2,71,11,12:30:00
John Jacob,Technology - Programming  1,11,11,12:00:00
Jim Jeffs,Technology - Programming  3,138,105,15:30:00
Jessica Taylor,Math - Algebra 1,84,84,12:30:00
Jake Anderson,English - Language 1,140,111,11:00:00
Beverly Thomas,History - World History AP,15,3,14:00:00
Rick White,Science - Biology 2,122,6,08:00:00
James Harris,Gym 2,135,55,11:30:00
George Martin,Health 3A,45,4,09:00:00
Amy Roebuck,Technology - Programming  2,75,23,14:30:00
Harry James,Math - Algebra 2,56,16,12:30:00
Bill Sluss,English - Language 2,88,26,14:00:00
John Jacob,History - US History AP,67,24,09:00:00
Jim Jeffs,Science - Geology 2,21,11,14:00:00
Jessica Taylor,Gym 1,89,89,12:00:00
Jake Anderson,Health 3B,147,100,14:00:00
Beverly Thomas,Technology - Networking 1,141,128,13:30:00
Rick White,Technology - Networking 2,30,3,09:00:00
James Harris,Technology - Networking 3,117,40,10:00:00
George Martin,Science - Biology 3,66,13,12:30:00
Amy Roebuck,Science - Biology 4,137,39,14:30:00
Harry James,Science - Biology 1,81,66,13:00:00
Bill Sluss,Health 3A,132,37,14:00:00
John Jacob,Health 2,88,37,12:00:00
Jim Jeffs,Health 1,17,17,14:00:00
Jessica Taylor,Science - Geology 1,67,67,16:00:00
Jake Anderson,History - World History AP,46,20,15:00:00
Beverly Thomas,English - Language 2,42,5,08:00:00
Rick White,Math - Algebra 2,137,37,16:00:00
James Harris,Technology - Programming  1,78,78,11:30:00
George Martin,Technology - Programming  3,148,20,10:00:00
Amy Roebuck,Math - Algebra 1,148,59,09:30:00
Harry James,English - Language 1,39,23,14:00:00
Bill Sluss,History - World History AP,52,8,12:00:00
John Jacob,Science - Biology 2,17,14,15:30:00
Jim Jeffs,Gym 2,106,61,11:00:00
Jessica Taylor,Health 3A,16,4,10:30:00
Jake Anderson,Technology - Programming  2,37,26,13:00:00
Beverly Thomas,Math - Algebra 2,125,22,16:00:00
Rick White,English - Language 2,34,8,14:00:00
James Harris,History - US History AP,40,7,08:30:00
George Martin,Science - Geology 2,34,7,12:30:00
Amy Roebuck,Gym 1,31,8,09:00:00
Harry James,Health 3B,84,23,12:30:00
Bill Sluss,Technology - Networking 1,33,33,16:00:00
John Jacob,Technology - Networking 2,37,19,11:00:00
Jim Jeffs,Technology - Networking 3,79,32,08:30:00
Jessica Taylor,Science - Biology 3,133,77,11:30:00
Jake Anderson,Science - Biology 4,149,38,08:30:00
Beverly Thomas,Science - Biology 1,131,79,14:30:00
Rick White,Health 3A,116,26,15:00:00
James Harris,Health 2,93,60,15:00:00
George Martin,Health 1,150,41,11:00:00
Amy Roebuck,Science - Geology 1,140,71,15:00:00
Harry James,History - World History AP,130,29,11:00:00
Bill Sluss,English - Language 2,94,17,15:30:00
John Jacob,Math - Algebra 2,121,42,08:00:00
Jim Jeffs,Technology - Programming  1,69,69,14:00:00
Jessica Taylor,Technology - Programming  3,30,16,13:30:00
Jake Anderson,Math - Algebra 1,86,86,11:30:00
Beverly Thomas,English - Language 1,100,38,10:00:00
Rick White,History - World History AP,66,8,11:30:00
James Harris,Science - Biology 2,22,6,10:30:00
George Martin,Gym 2,98,19,15:00:00
Amy Roebuck,Health 3A,57,11,16:00:00
Harry James,Technology - Programming  2,39,18,15:30:00
